Pitcher,PitcherTeam,Overall_StuffPlus,Overall_WhiffPlus,Overall_CalledStrikePlus,Overall_wOBACONPlus,Overall_PitchingPlus,Overall_PitchingWhiffPlus,Overall_PitchingCalledStrikePlus,Overall_PitchingwOBACONPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Kaidan Wilson,TEX_AGG,135.4,141.5,92.1,86.2,121.0,133.5,94.0,84.7,363,5,89.7,5.6
Dakota Stone,UCF_KNI,134.0,127.7,107.8,76.2,134.0,130.9,135.4,80.2,18,2,92.2,5.4
Porter Buursema,GIT_YEL,133.4,140.3,100.7,97.3,109.1,117.9,99.0,94.7,133,6,86.8,5.0
Mason Estrada,MAS_INS,133.0,138.2,103.8,92.2,105.3,122.0,87.2,87.2,42,2,90.7,6.2
Jacob Dudan,NOR_WOL,132.9,140.3,93.9,94.8,120.2,136.2,98.6,100.3,459,5,89.1,5.2
Gavin Black,MSU_BDG,132.7,140.5,89.8,93.2,111.8,120.6,100.3,71.9,27,4,88.7,6.0
Carson Laws,TEX_BOB,131.4,131.2,93.9,81.8,113.3,124.3,89.3,81.6,710,7,92.3,6.0
Santiago Garcia,ORE_DUC,130.9,131.4,99.3,91.2,118.2,120.5,103.0,75.9,412,3,88.4,6.0
Kade Anderson,LSU_TIG,130.8,140.5,86.3,94.4,129.9,129.5,112.9,93.1,1397,8,87.9,5.9
Connor McCreery,TEX_LON,130.5,133.7,85.5,111.3,91.6,123.2,77.5,88.6,38,3,89.9,4.9
Tyler Bremner,SAN_GAU,130.2,134.8,86.4,79.1,121.8,137.9,89.7,80.8,892,7,89.8,5.7
Joshua Stewart,TEX_AGG,130.0,124.8,128.7,60.3,119.0,136.3,76.9,111.5,9,3,83.2,5.6
Brendan Walker,STE_HAT,129.9,131.1,82.6,87.5,111.2,124.3,83.3,94.4,114,4,88.5,6.1
Luke Broderick,NEB,129.9,136.2,96.7,114.8,118.9,128.3,108.4,101.1,516,8,87.5,5.4
Terry Busse,MER_BEA,129.8,128.7,91.6,97.7,116.2,128.6,91.4,101.4,582,6,87.1,5.3
Will Hummel,PIT_PAN,129.5,140.3,75.4,86.7,94.6,145.2,38.1,84.8,15,5,90.1,6.0
Caleb Heuertz,ANG_STA,129.5,139.1,92.5,85.5,123.1,141.9,90.2,93.1,41,5,82.7,5.1
Joe Ariola,WAK_DEA,129.2,132.6,94.5,96.8,115.5,118.4,103.5,87.4,450,8,88.0,5.6
Ben Schorr,AUB_TIG,129.0,132.5,90.0,93.3,130.6,135.3,104.2,97.2,180,6,86.8,5.8
Hudson Hamilton,TEX_LON,129.0,130.8,88.1,88.9,120.8,131.4,101.1,99.4,189,5,86.5,5.3
Thomas Burns,TEX_LON,128.7,130.4,97.5,82.7,125.3,123.3,118.6,87.3,409,7,89.0,5.8
Hunter Dietz,ARK_RAZ,128.6,127.5,106.9,77.7,122.6,129.4,102.2,83.1,27,3,92.0,6.4
Liam Doyle,TEN_VOL,128.5,133.9,89.1,80.5,126.8,135.5,98.0,75.7,1236,7,92.1,5.7
Luke McNeillie,FLA_GAT,128.5,135.3,93.1,90.0,111.9,122.4,100.1,89.0,565,5,89.4,5.1
Mason Dillow,IU,128.4,137.7,71.1,115.9,110.0,106.6,95.0,99.6,32,3,85.9,5.5
Cole Carlon,ARI_SUN,128.3,132.8,97.0,89.4,121.7,134.2,101.7,88.1,695,8,89.0,5.1
Cade Townsend,OLE_REB,128.1,131.4,86.2,95.5,110.6,126.0,90.3,90.3,370,5,90.0,5.8
Brian Curley,GEO_BUL,128.0,129.1,103.8,85.3,119.4,129.9,99.3,86.8,954,9,90.6,5.6
Tim Baird,MAR_THU,127.9,126.1,96.3,85.1,118.9,122.8,100.6,85.5,441,8,90.0,5.8
Charlie Foster,MSU_BDG,127.7,121.7,102.2,77.0,121.1,121.9,99.7,72.7,149,6,90.4,6.7
Liam Peterson,FLA_GAT,127.5,131.5,95.9,80.3,116.7,126.7,103.1,86.3,1143,8,90.0,5.9
